2960;1;Data Research;Data science;;
3394;1;Data Science;Data science;;
5247;3;Data science;Data science;;
4022;1;Data Science field;Data science;;
6063;1;Data warehouse;Data warehousing;;
3695;1;Data warehouse architecture;Data warehousing;;
3205;22;Data warehousing;Data warehousing;;
5171;4;Data Warehousing;Data warehousing;;
5859;1;Data warehousingOutsourcing;Data warehousing;;
2645;11;Database;Databases;;
3868;1;Database (MSQL;Databases;MS SQL;
3892;1;Database Administration;Databases;;
4986;1;Database administration;Databases;;
6184;1;Database analysis and architecture;Databases;;
2937;4;Database Design;Databases;;
4107;1;Database Design Oracle;Databases;Oracle;
5909;1;Database desing;Databases;;
4550;1;Database modeling;Databases;;
4983;1;Database monitoring;Databases;;
4441;1;Database querying;Databases;;
4981;1;Database tuning;Databases;;
2846;100;Databases;Databases;;
4355;1;Databases administration;Databases;;
4356;8;Databases Design;Databases;;
5874;1;Databses Design;Databases;;
2761;16;DB;Databases;;
3723;1;DB Administration;Databases;;
5605;1;DB Design;Databases;;
5256;1;DB Developer;Databases;;
5843;1;DB: Postgres;Databases;Postgres;
3904;11;DB2;Databases;DB2;
3869;1;DB2);Databases;DB2;
2464;3;Administrace databází;DB;;
4513;1;Relational Databases;DB;;
3835;5;Disaster Recovery;Disaster Recovery;;
3866;1;Disaster recovery;Disaster Recovery;;
5892;1;disaster recovery;Disaster Recovery;;
4219;1;Distributed system;Distributed systems;;
5915;1;Distributed systém;Distributed systems;;
5961;1;Distributed systems;Distributed systems;;
6240;1;distributed systems;Distributed systems;;
2452;10;Django;Django;;
4091;3;django;Django;;
1589;2;D-Link;D-Link;;
2337;1;D-link;D-Link;;
1520;3;DLP;DLP;;
1356;46;DMS;DMS;;
2417;27;DNS;DNS;;
2653;1;DNS Security;DNS;;
3712;1;DNS Server;DNS;;
2701;1;DNS servery;DNS;;
2702;1;DNSSEC;DNS;;
4151;2;Docekr;Docker;;
1428;47;Docker;Docker;;
2998;4;docker;Docker;;
2367;1;Docker a Kubernetes;Docker;Kubernetes;
4195;1;Docker Swarm;Docker;;
2722;4;Doctrine;Doctrine;;
5337;1;Doctrine 2;Doctrine;;
6290;1;Doctrine with PostgreSQL;Doctrine;;
